Brand,Name,City,Region,District,Rating,Review Count,Address,latitude,Longitude,PlaceID
Hyundai - Naghi,شركة محمد يوسف ناغي للسيارات‎ { معرض هيونداي طريق الملك فهد خميس - أبها Khamis - Abha Road Hyundai Showroom }‎‎,أبها,منطقة عسير,خميس مشيط,3.8,825,"King Fahd Road, Khamis Mushait, حجله، أبها 62451, Saudi Arabia",18.2815819,42.671068,ChIJUd_MBwFX-xURjO5ft7UySO0
Hyundai - Naghi,Hyundai: Mohamed Yousuf Naghi Motors,أبها,منطقة عسير,امارة منطقة عسير,3.3,653,"King Abdullah Rd, العرين، أبها 62524, Saudi Arabia",18.2236465,42.5224448,ChIJ-z1PvJJU4xURc8E_MP7aFEU
Hyundai - Naghi,شركة محمد يوسف ناغي للسيارات‎ {هيونداي خدمة صيانة سريعة المدينة طريق المطار Madina Airport Rd Hyundai Quick Service Center }‎,Madinah,Al Madinah Province,Madinah Principality,3.6,798,"Airport Rd, Al Talah, Madinah 42322, Saudi Arabia",24.5090346,39.6563813,ChIJy5UEyAC-vRUR8VYxBQy9Vk8
Changan,صيانة شانجان المجدوعي الدمام - الخير,Dammam,Eastern Province,Dammam Principality,2.7,732,"6733 3178 Al Urdun, Al Faiha, Dammam 32441, Saudi Arabia",26.4438504,50.0421903,ChIJRbX_ec_9ST4RQSMHBpxlYu0
Changan,معرض شانجان المجدوعي الخبر - طريق الملك فهد,Al Khobar,Eastern Province,Al Khobar,4.2,325,"قرطبة،, Al Khobar 34235, Saudi Arabia",26.3374616,50.1988929,ChIJLZPo1kHpST4RydjxCuD9GCA
Changan,Changan,Dhahran,Eastern Province,Dammam Principality,3.8,1560,"7682، 4280 King Saud Bin Abdulaziz Rd, 4280, Al Qashlah, Dhahran 34232, Saudi Arabia",26.3626979,50.1778091,ChIJIecUnYzlST4ReIPxxqR2P2E
Changan,صيانة شانجان المجدوعي الأحساء - طريق الرياض,Al Hofuf,Eastern Province,Al Ahsa,2.9,235,"Riyadh Rd, Al Salmaniyah North, Al Hofuf 36421, Saudi Arabia",25.3617395,49.5525949,ChIJ8d0AiyOXNz4RVSMYmFdSv90
Changan,Changan Almajdouie Showroom – Exit 13,Riyadh,Riyadh Province,Riyadh Principality,3.4,1335,"Eastern Ring Branch Rd, King Abdullah Dt., Riyadh 12422, Saudi Arabia",24.7179193,46.7592609,ChIJC5DOYGkBLz4RjvM2yooF5Kk
Changan,changan,Riyadh,Riyadh Province,Riyadh Principality,2.9,1469,"8362 Eastern Ring Branch Rd, 3991, Al Faisaliyyah, Riyadh 12892, Saudi Arabia",24.647122,46.7933263,ChIJ99bM4M4HLz4RIoidtMK1lB4
Changan,صيانة شانجان المجدوعي الرياض - صناعية الشمال,Diriyah,Riyadh Province,Riyadh Principality,3.2,1215,"VH4G+8C, Al Qirawan, Diriyah 13542, Saudi Arabia",24.8553445,46.5760187,ChIJL97c--3nLj4R-duAAJ8rgPo
Changan,صيانة شانجان المجدوعي الخبر - طريق الملك فهد,الخبر,المنطقة الشرقية,الخبر,3.9,271,"قرطبه،, قرطبة، الخبر 34235, Saudi Arabia",26.3370322,50.1981288,ChIJg1jEEBTpST4RgOZDp6eCDws
Changan,Changan,Jeddah,Makkah Province,Jeddah,3.8,85,"King Abdallah Rd, An Naseem, Jeddah 23236, Saudi Arabia",21.5097049,39.2406587,ChIJyynuuVbNwxURTKvadomyijU
Changan,معرض شانجان المجدوعي جده - طريق الأمير سلطان,جدة,مكة المكرمة,جدة,3.8,354,"7645 الامير سلطان, As Salamah District, As Salamah District, جدة 23525, Saudi Arabia",21.6082948,39.1418992,ChIJ44iX2wHawxURZmpfot0GA2I
Changan,صيانة شانجان المجدوعي جدة - طريق الأمير سلطان,Jeddah,Makkah Province,Jeddah,3.7,929,"Sultan Palace Hotel Suit, As Salamah, Jeddah 23525, Saudi Arabia",21.608374,39.1418155,ChIJ-1IFu7zbwxURpoWIx3MFDP8
Changan,مركز صيانة شانجان,Abha,Aseer Province,Asir Principality,3.3,87,"King Fahd Rd, Arim, Abha 62563, Saudi Arabia",18.2594253,42.6341879,ChIJ9YkYdbBX-xURehtYw6qMqxc
Changan,صيانة شانجان خميس مشيط - سمو,خميس مشيط,منطقة عسير,خميس مشيط,2.5,74,"62563, 6380 طريق الملك فهد، التحلية، خميس مشيط 62454, Saudi Arabia",18.2963992,42.6849427,ChIJTSGKZclX-xURh83TS9OxAAk
Changan,معرض شانجان خميس مشيط - سمو,Khamis Mushait,Aseer Province,Asir Principality,3.5,273,"3611 King Fahd Rd, Arim, Khamis Mushait 62437, Saudi Arabia",18.2591577,42.6344558,ChIJ9yygbrdX-xUROUe87hwe2Xs
Peugeot & Citroen,Almajdouie Peugeot | المجدوعي بيجو,Dammam,Eastern Province,Dammam Principality,2.5,72,"Al Faiha, Dammam 32442, Saudi Arabia",26.4438367,50.0421651,ChIJf3MGtZL9ST4RFvPKwP0pSbQ
Peugeot & Citroen,Almajdouie Peugeot Showroom | معرض المجدوعي بيجو,Al Khobar,Eastern Province,Al Khobar,4.2,287,"King Fahd Road, Al Bustan, Al Khobar 34432, Saudi Arabia",26.3198807,50.2092644,ChIJcSQ4ksbpST4Rs-QF9rVBQ0o
Peugeot & Citroen,Almajdouie Peugeot Showroom | معرض المجدوعي بيجو,الرياض,منطقة الرياض,امارة منطقة الرياض,3.4,85,"Riyadh, Exit 13, Riyadh, 12422, الملك عبدالله، الرياض 20129, Saudi Arabia",24.7177308,46.7592495,ChIJjZy08XIBLz4RkfznClEFgFs
Peugeot & Citroen,Almajdouie Peugeot Service Center - مركز صيانة المجدوعي بيجو,Riyadh,Riyadh Province,Riyadh Principality,2.8,399,"Al Qirawan، الوسطى، Riyadh 11564, Saudi Arabia",24.8553219,46.575988,ChIJ52FI_MjnLj4Rv7Xk3mZzXDM
Peugeot & Citroen,Almajdouie Peugeot And Citroen - Jeddah Automall المجدوعي بيجو و سيتروين- أوتو مول جدة,Jeddah,Makkah Province,Jeddah,4.5,20,"Auto Mall, Al Mohammadiyyah, Jeddah 23617, Saudi Arabia",21.6481689,39.1130856,ChIJbdFBQMjZwxURbqxW4nLf3dA
Peugeot & Citroen,المجدوعي بيجو قطع غيار وصيانة,Jeddah,Makkah Province,Jeddah,3.6,218,"شارع الأمل،،، النعيم،، Jeddah 23526, Saudi Arabia",21.6273554,39.1512094,ChIJ9yKWvBvbwxURlrsTXtKU7Wg
